"refreshed_at_utc","source","rows_in_source","rows_after_cleaning","rows_appended","total_rows_after_write"
"2026-05-04 09:34:47 UTC","data_raw/incidents/incidents_source.csv",1072,1072,1072,1072
"2026-05-04 09:44:34 UTC","data_raw/incidents/incidents_source.csv",1072,1072,0,1072
"2026-05-04 10:02:25 UTC","data_raw/incidents/incidents_source.csv",1072,1072,0,1072
