"country","gci_tier","iso3c","year","gci_overall","gci_rank","source_slug"
"Costa Rica",NA,"CRI",2020,67.45,76,"d-str-gci.01-2021-htm-e"
"Costa Rica",3,"CRI",2024,70,NA,NA
"Cuba",NA,"CUB",2020,58.76,82,"d-str-gci.01-2021-htm-e"
"Cuba",3,"CUB",2024,70,NA,NA
"Cyprus",NA,"CYP",2020,88.82,41,"d-str-gci.01-2021-htm-e"
"Cyprus",1,"CYP",2024,97.5,NA,NA
"Czech Republic",NA,"CZE",2020,74.37,68,"d-str-gci.01-2021-htm-e"
"Czech Republic",2,"CZE",2024,90,NA,NA
"Germany",NA,"DEU",2020,97.41,13,"d-str-gci.01-2021-htm-e"
"Germany",1,"DEU",2024,97.5,NA,NA
"Djibouti",NA,"DJI",2020,1.73,179,"d-str-gci.01-2021-htm-e"
"Djibouti",4,"DJI",2024,37.5,NA,NA
"Dominica",NA,"DMA",2020,4.2,174,"d-str-gci.01-2021-htm-e"
"Dominica",4,"DMA",2024,37.5,NA,NA
"Denmark",NA,"DNK",2020,92.6,32,"d-str-gci.01-2021-htm-e"
"Denmark",1,"DNK",2024,97.5,NA,NA
"Dominican Republic",NA,"DOM",2020,75.05,66,"d-str-gci.01-2021-htm-e"
"Dominican Republic",3,"DOM",2024,70,NA,NA
"Algeria",NA,"DZA",2020,33.95,104,"d-str-gci.01-2021-htm-e"
"Algeria",3,"DZA",2024,70,NA,NA
"Ecuador",NA,"ECU",2020,26.3,119,"d-str-gci.01-2021-htm-e"
"Ecuador",2,"ECU",2024,90,NA,NA
"Egypt",NA,"EGY",2020,95.48,23,"d-str-gci.01-2021-htm-e"
"Egypt",1,"EGY",2024,97.5,NA,NA
"Eritrea",NA,"ERI",2020,1.73,179,"d-str-gci.01-2021-htm-e"
"Eritrea",5,"ERI",2024,10,NA,NA
"Spain",NA,"ESP",2020,98.52,4,"d-str-gci.01-2021-htm-e"
"Spain",1,"ESP",2024,97.5,NA,NA
"Estonia",NA,"EST",2020,99.48,3,"d-str-gci.01-2021-htm-e"
"Estonia",1,"EST",2024,97.5,NA,NA
"Ethiopia",NA,"ETH",2020,27.74,115,"d-str-gci.01-2021-htm-e"
"Ethiopia",3,"ETH",2024,70,NA,NA
"Finland",NA,"FIN",2020,95.78,22,"d-str-gci.01-2021-htm-e"
"Finland",1,"FIN",2024,97.5,NA,NA
"Fiji",NA,"FJI",2020,29.08,112,"d-str-gci.01-2021-htm-e"
"Fiji",4,"FJI",2024,37.5,NA,NA
"France",NA,"FRA",2020,97.6,9,"d-str-gci.01-2021-htm-e"
"France",1,"FRA",2024,97.5,NA,NA
"Micronesia, Fed. Sts.",NA,"FSM",2020,0,182,"d-str-gci.01-2021-htm-e"
"Micronesia, Fed. Sts.",5,"FSM",2024,10,NA,NA
"Gabon",NA,"GAB",2020,11.36,157,"d-str-gci.01-2021-htm-e"
"Gabon",4,"GAB",2024,37.5,NA,NA
"United Kingdom",NA,"GBR",2020,99.54,2,"d-str-gci.01-2021-htm-e"
"United Kingdom",1,"GBR",2024,97.5,NA,NA
"Georgia",NA,"GEO",2020,81.06,55,"d-str-gci.01-2021-htm-e"
"Georgia",2,"GEO",2024,90,NA,NA
"Ghana",NA,"GHA",2020,86.69,43,"d-str-gci.01-2021-htm-e"
"Ghana",1,"GHA",2024,97.5,NA,NA
"Guinea",NA,"GIN",2020,20.53,130,"d-str-gci.01-2021-htm-e"
"Guinea",3,"GIN",2024,70,NA,NA
"Gambia",NA,"GMB",2020,32.12,107,"d-str-gci.01-2021-htm-e"
"Gambia",3,"GMB",2024,70,NA,NA
"Guinea-Bissau",NA,"GNB",2020,9.85,161,"d-str-gci.01-2021-htm-e"
"Guinea-Bissau",5,"GNB",2024,10,NA,NA
"Equatorial Guinea",NA,"GNQ",2020,1.46,180,"d-str-gci.01-2021-htm-e"
"Equatorial Guinea",4,"GNQ",2024,37.5,NA,NA
"Greece",NA,"GRC",2020,93.98,28,"d-str-gci.01-2021-htm-e"
"Greece",1,"GRC",2024,97.5,NA,NA
"Grenada",NA,"GRD",2020,9.41,163,"d-str-gci.01-2021-htm-e"
"Grenada",4,"GRD",2024,37.5,NA,NA
"Guatemala",NA,"GTM",2020,13.13,150,"d-str-gci.01-2021-htm-e"
"Guatemala",4,"GTM",2024,37.5,NA,NA
"Guyana",NA,"GUY",2020,28.11,114,"d-str-gci.01-2021-htm-e"
"Guyana",4,"GUY",2024,37.5,NA,NA
"Honduras",NA,"HND",2020,2.2,178,"d-str-gci.01-2021-htm-e"
"Honduras",4,"HND",2024,37.5,NA,NA
"Croatia",NA,"HRV",2020,92.53,33,"d-str-gci.01-2021-htm-e"
"Croatia",2,"HRV",2024,90,NA,NA
"Haiti",NA,"HTI",2020,6.4,167,"d-str-gci.01-2021-htm-e"
"Haiti",4,"HTI",2024,37.5,NA,NA
"Hungary",NA,"HUN",2020,91.28,35,"d-str-gci.01-2021-htm-e"
"Hungary",2,"HUN",2024,90,NA,NA
"Indonesia",NA,"IDN",2020,94.88,24,"d-str-gci.01-2021-htm-e"
"Indonesia",1,"IDN",2024,97.5,NA,NA
"India",NA,"IND",2020,97.5,10,"d-str-gci.01-2021-htm-e"
"India",1,"IND",2024,97.5,NA,NA
"Ireland",NA,"IRL",2020,85.86,46,"d-str-gci.01-2021-htm-e"
"Ireland",2,"IRL",2024,90,NA,NA
"Iran",NA,"IRN",2020,81.07,54,"d-str-gci.01-2021-htm-e"
"Iran",3,"IRN",2024,70,NA,NA
"Iraq",NA,"IRQ",2020,20.71,129,"d-str-gci.01-2021-htm-e"
"Iraq",4,"IRQ",2024,37.5,NA,NA
"Iceland",NA,"ISL",2020,79.81,58,"d-str-gci.01-2021-htm-e"
"Iceland of the)",1,"ISL",2024,97.5,NA,NA
"Israel",NA,"ISR",2020,90.93,36,"d-str-gci.01-2021-htm-e"
"Israel",2,"ISR",2024,90,NA,NA
"Italy",NA,"ITA",2020,96.13,20,"d-str-gci.01-2021-htm-e"
"Italy",1,"ITA",2024,97.5,NA,NA
"Jamaica",NA,"JAM",2020,32.53,106,"d-str-gci.01-2021-htm-e"
"Jamaica",3,"JAM",2024,70,NA,NA
"Jordan",NA,"JOR",2020,70.96,71,"d-str-gci.01-2021-htm-e"
"Jordan",1,"JOR",2024,97.5,NA,NA
"Japan",NA,"JPN",2020,97.82,7,"d-str-gci.01-2021-htm-e"
"Japan",1,"JPN",2024,97.5,NA,NA
"Kazakhstan",NA,"KAZ",2020,93.15,31,"d-str-gci.01-2021-htm-e"
"Kazakhstan",2,"KAZ",2024,90,NA,NA
"Kenya",NA,"KEN",2020,81.7,51,"d-str-gci.01-2021-htm-e"
"Kenya",1,"KEN",2024,97.5,NA,NA
"Kyrgyzstan",NA,"KGZ",2020,49.64,92,"d-str-gci.01-2021-htm-e"
"Kyrgyzstan",3,"KGZ",2024,70,NA,NA
"Cambodia",NA,"KHM",2020,19.12,132,"d-str-gci.01-2021-htm-e"
"Cambodia",4,"KHM",2024,37.5,NA,NA
"Kiribati",NA,"KIR",2020,13.84,145,"d-str-gci.01-2021-htm-e"
"Kiribati",3,"KIR",2024,70,NA,NA
"Saint Kitts and Nevis",NA,"KNA",2020,12.44,153,"d-str-gci.01-2021-htm-e"
"Saint Kitts and Nevis",4,"KNA",2024,37.5,NA,NA
"Korea (Rep. of)",NA,"KOR",2020,98.52,4,"d-str-gci.01-2021-htm-e"
"Korea, Rep.",1,"KOR",2024,97.5,NA,NA
"Kuwait",NA,"KWT",2020,75.07,65,"d-str-gci.01-2021-htm-e"
"Kuwait",3,"KWT",2024,70,NA,NA
"Lao People's Democratic Republic",NA,"LAO",2020,20.34,131,"d-str-gci.01-2021-htm-e"
"Lao P.D.R. the Grenadines",4,"LAO",2024,37.5,NA,NA
"Lebanon",NA,"LBN",2020,30.44,109,"d-str-gci.01-2021-htm-e"
"Lebanon",4,"LBN",2024,37.5,NA,NA
"Liberia",NA,"LBR",2020,9.72,162,"d-str-gci.01-2021-htm-e"
"Liberia",4,"LBR",2024,37.5,NA,NA
"Libya",NA,"LBY",2020,28.78,113,"d-str-gci.01-2021-htm-e"
"Libya",3,"LBY",2024,70,NA,NA
"Saint Lucia",NA,"LCA",2020,10.96,158,"d-str-gci.01-2021-htm-e"
"Saint Lucia",4,"LCA",2024,37.5,NA,NA
"Liechtenstein",NA,"LIE",2020,35.15,101,"d-str-gci.01-2021-htm-e"
"Liechtenstein",4,"LIE",2024,37.5,NA,NA
"Sri Lanka",NA,"LKA",2020,58.65,83,"d-str-gci.01-2021-htm-e"
"Sri Lanka",2,"LKA",2024,90,NA,NA
"Lesotho",NA,"LSO",2020,9.08,164,"d-str-gci.01-2021-htm-e"
"Lesotho",4,"LSO",2024,37.5,NA,NA
"Lithuania",NA,"LTU",2020,97.93,6,"d-str-gci.01-2021-htm-e"
"Lithuania",2,"LTU",2024,90,NA,NA
"Luxembourg",NA,"LUX",2020,97.41,13,"d-str-gci.01-2021-htm-e"
"Luxembourg",1,"LUX",2024,97.5,NA,NA
"Latvia",NA,"LVA",2020,97.28,15,"d-str-gci.01-2021-htm-e"
"Latvia",3,"LVA",2024,70,NA,NA
"Morocco",NA,"MAR",2020,82.41,50,"d-str-gci.01-2021-htm-e"
"Morocco",1,"MAR",2024,97.5,NA,NA
"Monaco",NA,"MCO",2020,72.57,69,"d-str-gci.01-2021-htm-e"
"Monaco",3,"MCO",2024,70,NA,NA
"Moldova",NA,"MDA",2020,75.78,63,"d-str-gci.01-2021-htm-e"
"Moldova",3,"MDA",2024,70,NA,NA
"Madagascar",NA,"MDG",2020,23.33,124,"d-str-gci.01-2021-htm-e"
"Madagascar",4,"MDG",2024,37.5,NA,NA
"Maldives",NA,"MDV",2020,2.95,177,"d-str-gci.01-2021-htm-e"
"Maldives",5,"MDV",2024,10,NA,NA
"Mexico",NA,"MEX",2020,81.68,52,"d-str-gci.01-2021-htm-e"
"Mexico",2,"MEX",2024,90,NA,NA
"Marshall Islands",NA,"MHL",2020,4.9,172,"d-str-gci.01-2021-htm-e"
"Marshall Islands",5,"MHL",2024,10,NA,NA
"North Macedonia",NA,"MKD",2020,89.92,38,"d-str-gci.01-2021-htm-e"
"North Macedonia",3,"MKD",2024,70,NA,NA
"Mali",NA,"MLI",2020,10.14,160,"d-str-gci.01-2021-htm-e"
"Mali",4,"MLI",2024,37.5,NA,NA
"Malta",NA,"MLT",2020,83.65,49,"d-str-gci.01-2021-htm-e"
"Malta",2,"MLT",2024,90,NA,NA
"Myanmar",NA,"MMR",2020,36.41,99,"d-str-gci.01-2021-htm-e"
"Myanmar",3,"MMR",2024,70,NA,NA
"Montenegro",NA,"MNE",2020,53.23,87,"d-str-gci.01-2021-htm-e"
"Montenegro",3,"MNE",2024,70,NA,NA
"Mongolia",NA,"MNG",2020,26.2,120,"d-str-gci.01-2021-htm-e"
"Mongolia",3,"MNG",2024,70,NA,NA
"Mozambique",NA,"MOZ",2020,24.18,123,"d-str-gci.01-2021-htm-e"
"Mozambique",3,"MOZ",2024,70,NA,NA
"Mauritania",NA,"MRT",2020,18.94,133,"d-str-gci.01-2021-htm-e"
"Mauritania",4,"MRT",2024,37.5,NA,NA
