"spec","model","outcome","income_group_model","regressor","term","estimate","std.error","p.value","estimate_fmt","std.error_fmt","p.value_fmt","nobs"
"Income-group heterogeneity FE","High income__gcf_gdp__cyber_incidents_log","gcf_gdp","High income","cyber_incidents_log","l1_inflation_cpi",0.0560777197727941,0.0811948761110438,0.492913337247021,"0.056","(0.081)","0.493",404
"Income-group heterogeneity FE","High income__gcf_gdp__cyber_incidents_log","gcf_gdp","High income","cyber_incidents_log","l1_trade_gdp",-0.000478731615795668,0.0288508280258295,0.986825783057204,"-0.000","(0.029)","0.987",404
"Income-group heterogeneity FE","High income__gcf_gdp__cyber_incidents_log","gcf_gdp","High income","cyber_incidents_log","l1_population_total",-1.11074915775477e-07,1.44958589858457e-07,0.447058199706764,"-0.000","(0.000)","0.447",404
"Income-group heterogeneity FE","High income__gcf_gdp__gci_overall","gcf_gdp","High income","gci_overall","l1_gci_overall",-0.0428682824266642,0.0581410892992477,0.464182738600075,"-0.043","(0.058)","0.464",519
"Income-group heterogeneity FE","High income__gcf_gdp__gci_overall","gcf_gdp","High income","gci_overall","l1_inflation_cpi",0.0996684369163221,0.075078130093851,0.190023509762741,"0.100","(0.075)","0.190",519
"Income-group heterogeneity FE","High income__gcf_gdp__gci_overall","gcf_gdp","High income","gci_overall","l1_trade_gdp",0.00261236067136634,0.0315073120142113,0.934233204796241,"0.003","(0.032)","0.934",519
"Income-group heterogeneity FE","High income__gcf_gdp__gci_overall","gcf_gdp","High income","gci_overall","l1_population_total",-6.56428418053811e-09,1.15306043624104e-07,0.954815657043848,"-0.000","(0.000)","0.955",519
"Income-group heterogeneity FE","High income__gcf_gdp__gci_overall_norm","gcf_gdp","High income","gci_overall_norm","l1_gci_overall_norm",4.21132091695652,4.91374069851966,0.395276128194728,"4.211","(4.914)","0.395",519
"Income-group heterogeneity FE","High income__gcf_gdp__gci_overall_norm","gcf_gdp","High income","gci_overall_norm","l1_inflation_cpi",0.128671459923008,0.0707178695825542,0.0744847995630709,"0.129+","(0.071)","0.074",519
"Income-group heterogeneity FE","High income__gcf_gdp__gci_overall_norm","gcf_gdp","High income","gci_overall_norm","l1_trade_gdp",6.7382964771888e-05,0.0319239547474757,0.998323804291021,"0.000","(0.032)","0.998",519
"Income-group heterogeneity FE","High income__gcf_gdp__gci_overall_norm","gcf_gdp","High income","gci_overall_norm","l1_population_total",3.6050573589082e-08,1.08026956554971e-07,0.739908922397158,"0.000","(0.000)","0.740",519
"Income-group heterogeneity FE","High income__employment_ratio__cyber_incidents_log","employment_ratio","High income","cyber_incidents_log","l1_cyber_incidents_log",-0.140750985698856,0.172297058272157,0.417780315367879,"-0.141","(0.172)","0.418",405
"Income-group heterogeneity FE","High income__employment_ratio__cyber_incidents_log","employment_ratio","High income","cyber_incidents_log","l1_inflation_cpi",0.100797454033279,0.0460152164033488,0.0330826943998723,"0.101*","(0.046)","0.033",405
"Income-group heterogeneity FE","High income__employment_ratio__cyber_incidents_log","employment_ratio","High income","cyber_incidents_log","l1_trade_gdp",0.0288877959030966,0.0148437982285923,0.0571603279986981,"0.029+","(0.015)","0.057",405
"Income-group heterogeneity FE","High income__employment_ratio__cyber_incidents_log","employment_ratio","High income","cyber_incidents_log","l1_population_total",-2.0923596704739e-07,7.82321242213426e-08,0.0100305483774389,"-0.000*","(0.000)","0.010",405
"Income-group heterogeneity FE","High income__employment_ratio__gci_overall","employment_ratio","High income","gci_overall","l1_gci_overall",-0.0140252996492481,0.0214888372858066,0.516894990546317,"-0.014","(0.021)","0.517",550
"Income-group heterogeneity FE","High income__employment_ratio__gci_overall","employment_ratio","High income","gci_overall","l1_inflation_cpi",0.138129052478934,0.0441994101618743,0.00293099329479859,"0.138**","(0.044)","0.003",550
"Income-group heterogeneity FE","High income__employment_ratio__gci_overall","employment_ratio","High income","gci_overall","l1_trade_gdp",0.0363865815416277,0.0148378532774089,0.0176575744830531,"0.036*","(0.015)","0.018",550
"Income-group heterogeneity FE","High income__employment_ratio__gci_overall","employment_ratio","High income","gci_overall","l1_population_total",-1.21082323782031e-07,7.69969732789903e-08,0.122004804500079,"-0.000","(0.000)","0.122",550
"Income-group heterogeneity FE","High income__employment_ratio__gci_overall_norm","employment_ratio","High income","gci_overall_norm","l1_gci_overall_norm",-0.00809698343137577,2.00524125186812,0.99679397636077,"-0.008","(2.005)","0.997",550
"Income-group heterogeneity FE","High income__employment_ratio__gci_overall_norm","employment_ratio","High income","gci_overall_norm","l1_inflation_cpi",0.142697951748284,0.0449094120239559,0.00252364204546034,"0.143**","(0.045)","0.003",550
"Income-group heterogeneity FE","High income__employment_ratio__gci_overall_norm","employment_ratio","High income","gci_overall_norm","l1_trade_gdp",0.0360128669280981,0.0148053398044037,0.0185462467305325,"0.036*","(0.015)","0.019",550
"Income-group heterogeneity FE","High income__employment_ratio__gci_overall_norm","employment_ratio","High income","gci_overall_norm","l1_population_total",-1.15177180009302e-07,7.5604279324216e-08,0.133830584278047,"-0.000","(0.000)","0.134",550
"Income-group heterogeneity FE","Upper middle income__gdp_growth__cyber_incidents_log","gdp_growth","Upper middle income","cyber_incidents_log","l1_cyber_incidents_log",0.0742447922043526,0.557323157092224,0.89476384062604,"0.074","(0.557)","0.895",238
"Income-group heterogeneity FE","Upper middle income__gdp_growth__cyber_incidents_log","gdp_growth","Upper middle income","cyber_incidents_log","l1_inflation_cpi",0.243068959618166,0.128772942506095,0.0671648062432291,"0.243+","(0.129)","0.067",238
