"year","gdp_growth_mean","proxy_mean","countries","gdp_growth_idx","proxy_idx"
2014,3.24521058311034,43.4237124317116,261,0.185367565300156,-1.6337590949466
2015,2.78303429416612,46.1114609727207,261,0.0144078133775405,-1.35903797228687
2016,3.04384600645628,49.7291001723311,261,0.110882484835687,-0.989270530455553
2017,3.53117987527961,53.5285344541146,261,0.291148065979728,-0.600921384157985
2018,2.95872725968333,55.1323373297776,261,0.0793969236323834,-0.436992906547648
2019,2.77613822181109,58.0752674043263,261,0.0118569451325445,-0.136189077002812
2020,-4.97078666827016,62.4822299652488,261,-2.85374301975724,0.314256968742771
2021,5.7075184018278,66.2741499638421,261,1.09617918397206,0.701838062418408
2022,4.51397142247767,68.6277781505877,261,0.654684238474516,0.942407954996065
2023,3.41710112910022,70.1575557974952,261,0.248950154461974,1.09877013924281
2024,3.17898237469848,71.1445936509905,261,0.160869644590646,1.19965760809735
2025,NA,68.2054444630769,261,NA,0.89924023190006
